,PRODUCTCODE,SKUName,GSV/LTR
156,67451494,MAGNUM BADEM PRM 20X100ML,93.18237618717482
297,68602123,MAGNUM DBL KRML GOLD PRM 20X90ML,94.14787023204318
301,68716705,MAGNUM DBL CRMEL GOLD LCDP 20X90ML,96.88335078534028
153,67451478,MAGNUM DBL KRDUT PRM 20X95ML,97.03419778939998
263,68186030,MAGNUM COOKIE PRM 20X95ML,97.27274216465881
307,68797754,ALGIDA FRIGOLA TOBLERONE 30X90ML,97.33203121507192
122,67156904,MAGNUM BITTER CIKOLATA 20X100ML,99.39999999999999
154,67451480,MAGNUM DBL CIKO PRM 20X95ML,100.42899099072328
226,67879457,MAGNUM VEGAN (ETK) 12X90ML,103.33333333333331
306,68792258,MAGNUM DUET KIRMIZI MEYVELER 20X90ML,107.81705047230778
299,68674039,ALGIDA OREO BAR 30X72ML,108.98160088221495
