,PRODUCTCODE,SKUName,GSV/LTR
240,68138215,MAGNUM COOKIE EXP 20X95ML,56.02110329507589
264,68186143,ALGIDA CL FRIGOLA 30X65ML,56.12982566167927
117,67150472,CORNETTO DISK A.FISTIK-CIKO 24X140ML,56.59217710541127
119,67150476,CORNETTO DISK OREO 24X140ML,56.95352785052846
268,68192155,CORNETTO KULAH CL MRS US 24X120ML,57.28810834429978
199,67732147,MAGNUM RUBY PROMO 20X100ML,57.32125367286974
158,67451498,MAGNUM ANTEP PRM 20X100ML,57.9727681044717
35,21047937,MAGNUM.ANTEPFISTIK.PROMO-20X100ML,57.99999999999999
312,68916820,MAX TWISTER COSMIX PROMO 30X58ML,58.28260223298185
250,68158178,ALGIDA NICE BY NATURE 5X252ML,58.71523178807948
32,21038432,MAGNUM.ANTEPFISTIK-20X100ML.,58.806910994764394
286,68526820,ALGIDA MILKA CUP 18X105ML,59.04761904761905
228,67951970,CORNETTO DISC MILKA 24X140ML,59.51517443873713
46,21103565,MAGNUM.CLASSIC-20X100 ML.,60.39050638191375
68,21164103,MAGNUM DOUBLE CIKOLATA (20X100ML),60.60629814227458
305,68781257,CORNETTO DELI GUL 24X125ML,60.70435063569138
87,67036747,MAGNUM DBLE FISTIK EZMESI(20X95ML),60.80645161290323
121,67151920,MAGNUM DOUBLE BAL BADEM PRM 20X95ML,61.05263157894737
106,67121375,MAGNUM DOUBLE BAL BADEM 20X95ML,61.05263157894738
45,21103553,MAGNUM.BADEM-20X100 ML.,61.37841598287548
84,67017920,MAGNUM ANTEP 100 ML RFA 20X100ML,61.40922078756344
304,68781255,CORNETTO ASK ATESI 24X120ML,61.87514255878767
75,32006578,MAGNUM DBL KARADUT PRM 100ML (20X100ML),62.040816326530624
99,67052962,MAGNUM DBL CHOC RFA PRM(20X95ML),62.32305279665447
47,21103566,MAGNUM.BEYAZ-20X100 ML.,62.708377045329996
73,32006574,MAGNUM BADEM PROMO 100ML (20X100ML),63.08817733990149
219,67866859,CORNETTO ROMANTIK PRM 24X130ML,63.15384615384616
103,67052983,MAGNUM BADEM 100 ML RFA PRM 20X100ML,63.221732283464576
173,67645952,MAGNUM RUBY 20X100ML,64.02028985507248
101,67052972,MAGNUM DBL KRDUT RFA PRM 20X95ML,64.1213768115942
67,21164102,MAGNUM DOUBLE KARADUT (20X100ML),64.34096213384139
232,67997563,MAGNUM BITES MP 16X105ML,65.34374999999999
100,67052964,MAGNUM CLASSIC 100 ML RFA PRM 20X100ML,65.53123076923075
77,32006614,MAGNUM BEYAZ PROMO 100ML (20X100ML),66.09704142011834
314,70001051,CALIPPO.PORTAKAL-24X105 ML.,66.67741935483875
102,67052980,MAGNUM BEYAZ 100 ML RFA PRM 20X100ML,67.76266666666668
104,67052993,MAGNUM ANTEP 100ML RFA PRM 20X100ML,68.25921052631578
300,68716703,ALGIDA CLS OREO STCK PRM 30X65ML,68.51165156373256
81,67017911,MAGNUM BEYAZ 100 ML RFA 20X100ML,68.90296786525398
83,67017918,MAGNUM CLASSIC 100 ML RFA 20X100ML,70.4859898267393
151,67451460,MAGNUM BITTER CIKO PROMO 20X100ML,71.8
76,32006610,MAGNUM CLASSIC PROMO 100ML (20X100ML),71.84837545126354
231,67982134,MAGNUM COOKIE 20X95ML,73.29117870090853
82,67017913,MAGNUM BADEM 100 ML RFA 20X100ML,73.98811351040456
74,32006575,MAGNUM DBL CIKO PROMO 100ML (20X100ML),74.83875
217,67864287,MAGNUM ISTANBUL 12X100ML,77.6
283,68509898,MAGNUM DBL KRML GOLD 20X90ML,78.8365266813964
239,68132653,MAGNUM CUP 16X100ML,80.05763410047462
86,67036744,MAGNUM DOUBLE CHOCOLATE(20X95ML),80.2821199139326
293,68538116,MAGNUM CUP BADEM 16X83ML,83.89726678023419
85,67036742,MAGNUM DOUBLE KARADUT(20X95ML),85.85821373685317
280,68348633,MAGNUM BITES MP 6X315ML,86.98713536545394
308,68817061,ALGIDA BOOM BOOM 25X85ML,87.3089060742107
155,67451492,MAGNUM BEYAZ PRM 20X100ML,91.08413362323999
157,67451496,MAGNUM CLASSIC PRM 20X100ML,91.20777964209739
