,PRODUCTCODE,SKUName,GSV/LTR
91,67043242,CORNETTO DISC CHEESECAKE 24X145ML,34.827586206896555
176,67692355,ALGIDA BOOM BOOM PRM 24X90ML,34.99619482496195
15,20084450,MAGNUM.BEYAZ.PROMO-20X110 ML.,35.18181818181819
262,68179480,ALGIDA CLS CL KAKAO 30X65ML,35.30952221684745
269,68201435,CORNETTO MILKA PRM 24X140ML,35.840739425660715
212,67830660,ALGIDA FRIGOLA KODLU PRM 30X65ML,35.84615384615385
138,67317873,CORNETTO DISK A.FSTK-CIKO PRM24X140ML,35.96586739212958
230,67970450,ALGIDA CLASSICS OREO STICK 30X65ML,36.438887285537255
54,21116771,ALGIDA.KULAH.MARAS.24X145 ML.,36.68884723523899
225,67875499,CORNETTO CILGIN PRM 24X130ML,36.79487179487179
89,67043234,CORNETTO DISC VAN&KARAMEL 24X145ML,36.802285883924604
88,67043232,CORNETTO DISC A.FISTK-CIKO 24X145ML,37.17907742998352
139,67317875,CORNETTO DISK VAN-KRML PRM 24X140ML,37.8511226814188
258,68179472,ALGIDA CLASSICS CL VANILYA 30X65ML,38.527869646681346
227,67906437,ALGIDA KEFIRLI 30X60ML,38.6343073897162
259,68179474,ALGIDA CLS CL PISTACHIO 30X65ML,38.73621711655186
98,67052165,ALGIDA FRIGOLA 30X65ML,39.51464391224151
211,67830649,ALGIDA B.BOOM KODLU PRM 24X90ML,39.67677382280363
170,67632217,ALGIDA KEYIF KLH CILEK PRM 24X105ML,39.714285714285715
310,68868391,ALGIDA BUZZY CLK VAN 30X67ML,39.74906119502549
144,67358014,MAGNUM MON CHERI 20X95ML,40.43283582089553
95,67046563,ALGIDA KULAH MARAS USULU 24X135ML,40.60506481760628
113,67145658,ALGIDA MARAS CUP 24X105ML,41.06584726535686
92,67043464,MAX BUZZY CILEK&VAN 30X75ML,41.625
90,67043240,CORNETTO DISC OREO 24X145ML,41.71353642384107
303,68763761,MAX KRAL SAKIR 20X87ML,42.10613047898825
49,21104500,MAX.FRIGOLA-30X55 ML.,42.25454052588777
147,67400253,ALGIDA NOGGER SANDW 20X145ML,42.30838538505025
198,67722841,ALGIDA KULAH MARAS USULU 24X120 ML,42.52504128111662
123,67161245,CORNETTO CLASSICO CIKOLATA 24X125ML,42.54413433833214
124,67161247,CORNETTO CLASSICO KAYMAK 24X125ML,43.007085130883105
220,67866941,CORNETTO DISK OREO PRM 24X140ML,43.194181104936256
8,20083929,ALGIDA.MARAS.CUP-24X100 ML.,43.291358024691355
235,68116793,ALGIDA FROOTIE SUPER DTX 24X105ML,43.29624526352049
201,67753374,MAX TWISTER OCEAN PROMO 30X65ML,43.629816673673595
79,67013628,ALGIDA FRIGOLA ÖZEL ÜRETİM 30X55ML,44.31013916500994
112,67142741,ALGIDA FRIGOLA 30X62ML,44.469398163889835
236,68116795,ALGIDA FROOTIE SUPER DEFC 24X105ML,44.57142857142856
234,68116790,ALGIDA FROOTIE SUPER ENERG 24X105ML,44.57226584513655
108,67121427,ALGIDA BOOM BOOM 24X85 ML,45.095681919587534
275,68305559,ALGIDA CL CLS KAKAO PRM 30X65ML,45.201754900926105
203,67753378,MAX TWISTER ISLAND PROMO 30X65ML,45.33875997069159
302,68748399,MAX TWISTER COSMIX 30X58ML,45.59149136196382
233,67999026,ALGIDA BIG BOLD 24X95ML,47.53368882328111
206,67753384,MAX TWISTER FOREST PROMO 30X65ML,47.55713500444175
229,67965373,ALGIDA BOOM BOOM 25X90ML,47.88248860104591
285,68526815,ALGIDA OREO CUP 18X105ML,48.1875
213,67834524,MAGNUM EXP BITTER CHOCOLATE 20X100ML,50.3
152,67451462,MAGNUM CHERRY CHERRY PRM 20X100ML,54.26923076923077
118,67150474,CORNETTO DISK VAN-KARAMEL 24X140ML,54.87658449992206
107,67121425,ALGIDA NOGGER OREO SANDWICH 24X105ML,55.121951219512184
