,PRODUCTCODE,SKUName,GSV/LTR
200,67748840,ALGIDA FROOTIE 30X80ML,29.16529867761058
110,67127754,CORNETTO CLASS.K.DUT KYMAK 24X120ML,29.166666666666668
65,21161295,CLASSICS KAKAO 30X65ML,29.309133489461356
246,68148518,CORNETTO UNICORNETTO 24X135ML,29.527629226788953
162,67499958,ALGIDA BOOM BOOM 24X90ML,29.843817041804446
289,68528846,CORNETTO ROSE YAZ 24X130ML,29.915417037882804
288,68528842,CORNETTO ROSE SONSUZ 24X130ML,29.945227599789945
266,68188084,CORNETTO KYF CL COKO-VAN PRM 24X110ML,29.97737736739098
129,67180117,MAX TWISTER ISLAND 30X72ML,30.263333333333335
222,67866946,CORNETTO CLAS MULBERRY PRM 24X125ML,30.292035398230095
315,70001057,NOGGER SANDWICH-20X145 ML.,30.419023518904424
290,68528850,CORNETTO ROSE ILK 24X130ML,30.876415092817613
186,67713963,ALGIDA COMBO KAKAO-VAN 30X60ML,30.991785725944876
194,67718599,MAX TWISTER FOREST 30X65ML,31.325763923448363
134,67311100,CORNETTO DISC TOBLERONE 24X140ML,31.39097744360902
38,21100826,CORNETTO.KAYMAK-24X120 ML.,31.428177458033574
187,67713965,ALGIDA COMBO CILEK-VANILYA 30X60ML,31.94313652073289
37,21100825,CORNETTO.CIKOLATA-24X120 ML.,32.20659062103929
195,67718601,MAX TWISTER ISLAND 30X65ML,32.26503204025448
126,67169458,CORNETTO CLASSICO KARADUT 24X125ML,32.41565349544073
277,68305571,ALGIDA CL CLS VAN PRM 30X65ML,32.68854127402941
196,67718603,MAX TWISTER OCEAN 30X65ML,32.71965662547116
278,68305608,ALGIDA CL CLS FISTIK PRM 30X65ML,32.84984623460589
127,67180113,MAX TWISTER OCEAN 30X72ML,33.035353535353536
115,67146088,MAX TWISTER ISLAND 25X72ML,33.961315979754154
26,21031435,SCORN.DISC.ANTEP.CIK-24X160 ML.,34.06925675675675
27,21031436,SCORN.DISC.VANILYA.KARML-24X160 ML.,34.18044354838708
169,67584313,ALGIDA NOGGER SAND PRNT BSCT 20X145ML,34.30819672131148
292,68537013,MAX DUO CLK VAN NC KNTN 30X55ML,34.46534682025345
120,67150571,CORNETTO CLASSICO CIKOLATA 24X120ML,34.55110239162931
